,time,SVclockBias,SVrelFreqBias,MessageFrameTime,X,dX,dX2,health,Y,dY,dY2,FreqNum,Z,dZ,dZ2,AgeOpInfo,source,t_oc,Leap Seconds
694,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
695,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
696,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
697,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
698,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
699,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
700,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
701,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
702,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
703,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
704,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
705,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
706,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
707,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
708,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
709,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
710,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
711,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
712,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
713,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
714,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
715,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
716,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
717,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
718,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
719,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
720,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
721,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
722,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
723,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
724,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
725,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
726,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
727,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
728,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
729,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
